HEALTHFACTORTYPE,SmokingFactor
CURRENT SMOKER EDUCATION +2,CURRENT SMOKER
CURRENT SMOKER EDUCATION +3,CURRENT SMOKER
CURRENT SMOKER II,CURRENT SMOKER
Current Smoker INPT,CURRENT SMOKER
CURRENT SMOKER PS,CURRENT SMOKER
CURRENT SMOKER TIDES,CURRENT SMOKER
CURRENT SMOKER TIDES2,CURRENT SMOKER
CURRENT SMOKER V03,CURRENT SMOKER
CURRENT SMOKER V1,CURRENT SMOKER
CURRENT SMOKER WILL QUIT,CURRENT SMOKER
CURRENT SMOKER WILL QUIT LPN,CURRENT SMOKER
CURRENT SMOKER WON'T QUIT,CURRENT SMOKER
CURRENT SMOKER WON'T QUIT LPN,CURRENT SMOKER
CURRENT SMOKER*,CURRENT SMOKER
"CURRENT SMOKER, MID",CURRENT SMOKER
"CURRENT SMOKER, PULMONARY",CURRENT SMOKER
CURRENT SMOKER/TOBACCO USER <1 YEAR,CURRENT SMOKER
CURRENT SMOKER/USER,CURRENT SMOKER
CURRENT SMOKER_TIDES,CURRENT SMOKER
CURRENT SMOKERaaa,CURRENT SMOKER
CURRENT SMOKER-AAA,CURRENT SMOKER
CURRENT SMOKER-CIGARETTE,CURRENT SMOKER
CURRENT SMOKING CESSATION,CURRENT SMOKER
CURRENT SMOKING TOBACCO USER,CURRENT SMOKER
CURRENT TOB,CURRENT SMOKER
CURRENT TOB CESSATION MED USE,CURRENT SMOKER
CURRENT TOB STAGE CH ACTION,CURRENT SMOKER
CURRENT TOB USER,CURRENT SMOKER
CURRENT TOB USER REFUSED MEDS/TX AT D/C,CURRENT SMOKER
CURRENT TOB USER REFUSED TOB MEDS ADM,CURRENT SMOKER
CURRENT TOB USER REFUSED TOB MEDS OUTPT,CURRENT SMOKER
CURRENT TOB USER WANT TOB MEDS OUTPT,CURRENT SMOKER
CURRENT TOB USER WANTS TOB MEDS ADM,CURRENT SMOKER
CURRENT TOBACCO NON-USER,UNKNOWN
CURRENT TOBACCO PRODUCT USER,CURRENT SMOKER
CURRENT TOBACCO USE,CURRENT SMOKER
CURRENT TOBACCO USER,CURRENT SMOKER
CURRENT TOBACCO USER (GRJ),CURRENT SMOKER
CURRENT TOBACCO USER (NOT READY TO QUIT),CURRENT SMOKER
CURRENT TOBACCO USER (READY TO QUIT),CURRENT SMOKER
CURRENT TOBACCO USER (SCHCS),CURRENT SMOKER
CURRENT TOBACCO USER (UNABLE TO ASSESS),CURRENT SMOKER
CURRENT TOBACCO USER (VERIFIED),CURRENT SMOKER
CURRENT TOBACCO USER 2,CURRENT SMOKER
CURRENT TOBACCO USER -2,CURRENT SMOKER
CURRENT TOBACCO USER 2014,CURRENT SMOKER
CURRENT TOBACCO USER AT DISCHARGE,CURRENT SMOKER
CURRENT TOBACCO USER CLEVELAND,CURRENT SMOKER
CURRENT TOBACCO USER from V18 Pneumo,CURRENT SMOKER
CURRENT TOBACCO USER GJ,CURRENT SMOKER
CURRENT TOBACCO USER GJ2,CURRENT SMOKER
CURRENT TOBACCO USER I,CURRENT SMOKER
CURRENT TOBACCO USER II,CURRENT SMOKER
CURRENT TOBACCO USER in past year,CURRENT SMOKER
CURRENT TOBACCO USER INPT,CURRENT SMOKER
CURRENT TOBACCO USER ON SCREEN,CURRENT SMOKER
CURRENT TOBACCO USER TUCSON,CURRENT SMOKER
CURRENT TOBACCO USER(2),CURRENT SMOKER
CURRENT TOBACCO USER1,CURRENT SMOKER
CURRENT TOBACCO USER-1,CURRENT SMOKER
CURRENT TOBACCO USER2,CURRENT SMOKER
CURRENT TOBACCO USER-2,CURRENT SMOKER
CURRENT TOBACCO USER-3,CURRENT SMOKER
CURRENT TOBACCO USER-CHEW,UNKNOWN
CURRENT TOBACCO USER-CIGARETTES,CURRENT SMOKER
CURRENT TOBACCO USER-CIGARS,UNKNOWN
CURRENT TOBACCO USER-GU,CURRENT SMOKER
CURRENT TOBACCO USER-PIPE,UNKNOWN
CURRENT TOBACCO USER-SNUFF,UNKNOWN
CURRENT TOBACCO USER-WILL NOT QUIT-GU,CURRENT SMOKER
CURRENT TOBACCO USER-WILLING TO QUIT-GU,CURRENT SMOKER
CURRENT TOBACCO-USER,CURRENT SMOKER
Current User of Cigarettes,CURRENT SMOKER
Current User of Smokeless Tobacco,UNKNOWN
Current User of tobacco inpt,CURRENT SMOKER
CURRENTLY A NON-TOBACCO USER,UNKNOWN
CURRENTLY ATTENDING TOBACCO CESSATION,CURRENT SMOKER
CURRENTLY ENROLLED IN SMOKING CESSATION,CURRENT SMOKER
CURRENTLY IN SMOKING CESSATION CLASS,CURRENT SMOKER
CURRENTLY IN SMOKING CESSATION PROGRAM,CURRENT SMOKER
Currently on Smoking Clinic,CURRENT SMOKER
CURRENTLY ON TOBACCO CESSATION MEDS,CURRENT SMOKER
CURRENTLY SMOKES,CURRENT SMOKER
CURRENTLY TAKING ANTI-SMOKING MED,CURRENT SMOKER
CURRENTLY USES TOBACCO,CURRENT SMOKER
CURRENTLY USES TOBACCO-ACCEPTS MED,CURRENT SMOKER
CURRENTLY USES TOBACCO-ACCEPTS MED & REF,CURRENT SMOKER
CURRENTLY USES TOBACCO-ACCEPTS REFE ONLY,CURRENT SMOKER
CURRENTLY USES TOBACCO-COUNSELING DONE,CURRENT SMOKER
CURRENTLY USES TOBACCO-DECLINES MED,CURRENT SMOKER
CURRNT NON-SMOKER (PREVIOUS SMOKER),FORMER SMOKER
D/C TOBACCO,UNKNOWN
D/C TOBACCO CONSULT DECLINED,CURRENT SMOKER
D/C TOBACCO CONSULT/MED CONTRAINDICATED,UNKNOWN
D/C TOBACCO MEDS DECLINED,CURRENT SMOKER
D/C TOBACCO ORDERED PT MEDS,CURRENT SMOKER
D/C TOBACCO ORDERED TX CONSULT,FORMER SMOKER
D/C TOBACCO USER,CURRENT SMOKER
DATE LAST SMOKED,UNKNOWN
