HEALTHFACTORTYPE,SmokingFactor
NURS ASSESS CURRENT NON-SMOKER,UNKNOWN
NURS SCR INPT TOBACCO USE POS,CURRENT SMOKER
NURSE INPT TOBACCO ASSESSMENT COMPLETE,UNKNOWN
NURSING ADMISSION TOBACCO SCREEN,UNKNOWN
NURSING MEDICINE SMOKING ED GIVEN,CURRENT SMOKER
NURSING: TOBACCO MEDS OFFERED-ACCEPTED,CURRENT SMOKER
NURSING: TOBACCO MEDS OFFERED-DECLINED,CURRENT SMOKER
O2 HISTORY NON COMPLIANCE SMOKING RULES,UNKNOWN
O2 SMOKING CARE GIVER,UNKNOWN
O2 TOBACCO USE #OF YRS,UNKNOWN
OCM 50 TOBACCO COUNSELING,CURRENT SMOKER
OCM 52 ATTENDING TOBACCO TX,UNKNOWN
OCM 53 NOT ATTENDING TOBACCO TX,UNKNOWN
OCM 54 REFUSES TO DISCUSS TOBACCO TX,CURRENT SMOKER
OEF/OIF EXPOS HAZ SMOKE (TRASH/FECE),UNKNOWN
OEF/OIF EXPOS HAZ SMOKE-OIL FIELD,UNKNOWN
OEF/OIF LAST USED TOBACCO < 7 YRS,FORMER SMOKER
OEF/OIF LAST USED TOBACCO > 7 YRS,UNKNOWN
OEF/OIF NEVER USED TOBACCO,NEVER SMOKER
OEF/OIF SMOKE FROM BURN PITS CONCERN,CURRENT SMOKER
OEF/OIF SMOKELESS TOBACCO,UNKNOWN
OEF/OIF TOBACCO INFO ON QUITTING NO,CURRENT SMOKER
OEF/OIF TOBACCO INFO ON QUITTING YES,CURRENT SMOKER
OEF/OIF TOBACCO USE NO,UNKNOWN
OEF/OIF TOBACCO USE YES,CURRENT SMOKER
OEF/OIF TOBACCO/CIGARETTES,UNKNOWN
OEF/OIF TOBACCO/CIGARS,UNKNOWN
OFFER SMOKING CESSATION (2ND),CURRENT SMOKER
OFFER SMOKING CESSATION (3RD),CURRENT SMOKER
OFFERED STOP TOBACCO CLINIC REFERRAL,CURRENT SMOKER
OKL CURRENT SMOKER,CURRENT SMOKER
OM/TOBACCO USE,UNKNOWN
OMR COMPREHENSIVE METOBOLIC PANEL,unknown
ONC BREAST CA RISK CURRENT SMOKER,CURRENT SMOKER
ONC BREAST CA RISK FORMER SMOKER,FORMER SMOKER
ONC BREAST CA RISK NEVER SMOKED,NEVER SMOKER
ONC BREAST CA RISK SMOKER UNKN,UNKNOWN
ONC BREAST CA RISK SMOKER YR QUIT,FORMER SMOKER
ONC BREAST CA SMOKER YR QUIT,FORMER SMOKER
ONS AA MH CALMING ID-SMOKING,unknown
ONS RA MH CALMING ID-SMOKING,unknown
ONS TOBACCO LIFETIME NON-USER,NEVER SMOKER
ONS TOBACCO USE CURRENT,CURRENT SMOKER
ONS TOBACCO USE FORMER 1Y-7Y,FORMER SMOKER
ONS TOBACCO USE FORMER GREATER THAN 7Y,FORMER SMOKER
ONS TOBACCO USE FORMER LESS THAN 1Y,FORMER SMOKER
ONS TOBACCO USE SCREEN,UNKNOWN
ONS TOBACCO USER FORMER GREATER THAN 7Y,FORMER SMOKER
ORYX ADMIT TOBACCO SCREEN NO,UNKNOWN
ORYX ADMIT TOBACCO SCREEN REFUSED,UNKNOWN
ORYX ADMIT TOBACCO SCREEN YES,CURRENT SMOKER
ORYX ADMIT TOBACCO USE CIGS GR 5D,CURRENT SMOKER
ORYX ADMIT TOBACCO USE CIGS LS 5D,CURRENT SMOKER
ORYX ADMIT TOBACCO USE CIGS ND,UNKNOWN
ORYX ADMIT TOBACCO USE PIPE/CIGAR,UNKNOWN
ORYX ADMIT TOBACCO USE SMOKELESS,UNKNOWN
ORYX CATEGORY ADMIT TOBACCO SCREEN,UNKNOWN
ORYX CATEGORY ADMIT TOBACCO USE,UNKNOWN
ORYX CATEGORY DAILY TOBACCO COUNSEL,CURRENT SMOKER
ORYX CATEGORY DAILY TOBACCO MED,CURRENT SMOKER
ORYX CATEGORY DAILY TOBACCO MEDS OFFERED,CURRENT SMOKER
ORYX CATEGORY DISCHARGE TOBACCO MED,CURRENT SMOKER
ORYX CATEGORY DISCHARGE TOBACCO REFERRAL,CURRENT SMOKER
ORYX CATEGORY TOBACCO PD CONTACT,UNKNOWN
ORYX CATEGORY TOBACCO PD COUNSEL,CURRENT SMOKER
ORYX CATEGORY TOBACCO PD MED,CURRENT SMOKER
ORYX CATEGORY TOBACCO PD QUIT,FORMER SMOKER
ORYX D/C TOBACCO USE INTERVENTION,UNKNOWN
ORYX DAILY TOBACCO COUNSEL RECEIVED,CURRENT SMOKER
ORYX DAILY TOBACCO COUNSEL REFUSED,CURRENT SMOKER
ORYX DAILY TOBACCO MED NO,CURRENT SMOKER
ORYX DAILY TOBACCO MED ORDER,CURRENT SMOKER
ORYX DAILY TOBACCO MED REFUSED,CURRENT SMOKER
ORYX DAILY TOBACCO MEDS NOT INDICATED,UNKNOWN
ORYX DAILY TOBACCO MEDS ORDERED,CURRENT SMOKER
ORYX DAILY TOBACCO MEDS REFUSED,CURRENT SMOKER
ORYX DISCHARGE TOBACCO MED ORDER,CURRENT SMOKER
ORYX DISCHARGE TOBACCO MED REFUSED,CURRENT SMOKER
ORYX DISCHARGE TOBACCO REFERRAL INFO,CURRENT SMOKER
ORYX DISCHARGE TOBACCO REFERRAL ORDER,CURRENT SMOKER
ORYX DISCHARGE TOBACCO REFERRAL REFUSED,CURRENT SMOKER
ORYX TOBACCO ABNORMAL LEVEL OF CONCIOUS,UNKNOWN
ORYX TOBACCO AGREES W/COUNSELING,CURRENT SMOKER
ORYX TOBACCO AGREES W/SCREEN,UNKNOWN
ORYX TOBACCO ALTERED MENTAL STATUS,UNKNOWN
ORYX TOBACCO CALL ATTEMPT COMPLETE,UNKNOWN
ORYX TOBACCO COGNITIVE IMPAIRMENT,UNKNOWN
ORYX TOBACCO CONFUSION,UNKNOWN
ORYX TOBACCO CONTACT ATTEMPT,UNKNOWN
ORYX TOBACCO CONTRAINDICATED,UNKNOWN
ORYX TOBACCO COUNSELING,CURRENT SMOKER
ORYX TOBACCO COUNSELLING,CURRENT SMOKER
ORYX TOBACCO DECLINED COUNSELLING,CURRENT SMOKER
ORYX TOBACCO DEFERRAL,UNKNOWN
ORYX TOBACCO F/U 1ST ATTEMPT,UNKNOWN
ORYX TOBACCO F/U 2ND ATTEMPT,UNKNOWN
ORYX TOBACCO F/U 3RD ATTEMPT,UNKNOWN
ORYX TOBACCO INPATIENT,UNKNOWN
ORYX TOBACCO MEDICATIONS NO,CURRENT SMOKER
ORYX TOBACCO MEDICATIONS YES,CURRENT SMOKER
ORYX TOBACCO MENTAL DISABILITY,UNKNOWN
ORYX TOBACCO NICOTINE MED ORDERED,CURRENT SMOKER
ORYX TOBACCO NICOTINE MED REFUSED,CURRENT SMOKER
ORYX TOBACCO NON USER,UNKNOWN
ORYX TOBACCO OUTPT REFERRAL,CURRENT SMOKER
ORYX TOBACCO OUTPT REFERRAL NOT NEEDED,UNKNOWN
ORYX TOBACCO OUTPT REFERRAL REFUSED,CURRENT SMOKER
ORYX TOBACCO PD CONTACT NO,UNKNOWN
ORYX TOBACCO PD CONTACT NO 3 ATTEMPTS,UNKNOWN
ORYX TOBACCO PD CONTACT YES,CURRENT SMOKER
ORYX TOBACCO PD COUNSEL NO,CURRENT SMOKER
ORYX TOBACCO PD COUNSEL REFUSED,CURRENT SMOKER
ORYX TOBACCO PD COUNSEL YES,CURRENT SMOKER
ORYX TOBACCO PD MED NO,CURRENT SMOKER
ORYX TOBACCO PD MED REFUSED,CURRENT SMOKER
ORYX TOBACCO PD MED YES,CURRENT SMOKER
ORYX TOBACCO PD QUIT NO,CURRENT SMOKER
ORYX TOBACCO PD QUIT REFUSED,CURRENT SMOKER
ORYX TOBACCO PD QUIT YES,FORMER SMOKER
ORYX TOBACCO PD READMIT,UNKNOWN
ORYX TOBACCO POST COUNSELLING NO,CURRENT SMOKER
ORYX TOBACCO POST COUNSELLING NO INFO,CURRENT SMOKER
ORYX TOBACCO POST COUNSELLING YES,CURRENT SMOKER
ORYX TOBACCO POST F/U DONE,UNKNOWN
ORYX TOBACCO POST MEDS NO,CURRENT SMOKER
ORYX TOBACCO POST MEDS NO INFO,CURRENT SMOKER
ORYX TOBACCO POST MEDS YES,CURRENT SMOKER
ORYX TOBACCO POST QUIT NO,FORMER SMOKER
ORYX TOBACCO POST QUIT NO INFO,UNKNOWN
ORYX TOBACCO POST QUIT YES,FORMER SMOKER
ORYX TOBACCO PRACTICAL COUNSELING,CURRENT SMOKER
ORYX TOBACCO REFERRAL TO PROVIDER,CURRENT SMOKER
ORYX TOBACCO REFUSE SCREENING,UNKNOWN
ORYX TOBACCO REFUSED COUNSELING,CURRENT SMOKER
ORYX TOBACCO USE,UNKNOWN
ORYX TOBACCO USE INTERVENTION,UNKNOWN
ORYX TOBACCO USE LIGHT,CURRENT SMOKER
ORYX TOBACCO USE MODERATE/HEAVY,CURRENT SMOKER
ORYX TOBACCO USE REFUSED SCREEN,UNKNOWN
ORYX TOBACCO USE T-30D NO,UNKNOWN
ORYX TOBACCO USE T-30D YES,CURRENT SMOKER
ORYX TOBACCO USE UNABLE TO SCREEN,UNKNOWN
OSTEO MALE >50 CURRENT SMOKER,CURRENT SMOKER
OSTEO MALE 50-70 TOBACCO USER,CURRENT SMOKER
Osteo Smoking,UNKNOWN
OTC SMOKING CESSATION MEDS OFFERED,CURRENT SMOKER
OTHER TOBACCO COMMENTS,UNKNOWN
OTHER TOBACCO PRODUCT (Avg # per day),UNKNOWN
OTHER TOBACCO USE CESSATION AUDIOTAPE,CURRENT SMOKER
OTHER TOBACCO USE CESSATION HANDOUT,CURRENT SMOKER
OTHER TOBACCO USE CESSATION VIDEO,CURRENT SMOKER
Outpatient Smoking Cessation Referral,CURRENT SMOKER
OUTSIDE SMOKING CESSATION EDUCATION,CURRENT SMOKER
OUTSIDE SMOKING CESSATION PROGRAM,CURRENT SMOKER
OUTSIDE TOBACCO CESSATON COUNSEL/PROGRAM,CURRENT SMOKER
OUTSIDE TOBACCO TREATMENT,unknown
OUTSTANDING TOBACCO CONSULT,unknown
OVER THE COUNTER TOBACCO MED,CURRENT SMOKER
PACT TOBACCO,unknown
PACT/PAVE SMOKING HOW LONG,UNKNOWN
PACT/PAVE SMOKING HX-NO,UNKNOWN
PACT/PAVE SMOKING HX-YES,UNKNOWN
PACT/PAVE SMOKING PPD,UNKNOWN
PAIN IOP TOB DC,UNKNOWN
PAIN IOP TOB INT,UNKNOWN
PAIN IOP TOB INTER,UNKNOWN
PALL CONSULT TOBACCO MISUSE NO,UNKNOWN
PALL CONSULT TOBACCO MISUSE YES,CURRENT SMOKER
PALLCARE-SOCIAL HX TOBACCO USE,unknown
PALLI CONSULT TOBACCO MISUSE NO,UNKNOWN
PALLI CONSULT TOBACCO MISUSE YES,CURRENT SMOKER
PAST TOB RISKS DISCUSSED,FORMER SMOKER
Past tobacco user,FORMER SMOKER
PATIENT ADVISED TO QUIT TOBACCO,CURRENT SMOKER
PATIENT CONTINUES TO USE TOBACCO,CURRENT SMOKER
PATIENT CURRENT SMOKER,CURRENT SMOKER
PATIENT CURRENT TOBACCO USER,CURRENT SMOKER
PATIENT CURRENTLY DOES NOT USE TOBACCO,UNKNOWN
PATIENT CURRENTLY USES TOBACCO,CURRENT SMOKER
PATIENT DECLINED (SMOKING CESSATION ED),CURRENT SMOKER
PATIENT DECLINED (SMOKING CESSATION),CURRENT SMOKER
PATIENT DECLINED (TOBACCO MED THERAPY),CURRENT SMOKER
PATIENT DECLINED (TOBACCO MEDICATIONS),CURRENT SMOKER
PATIENT DECLINED (TOBACCO USE SCREEN),UNKNOWN
PATIENT DECLINED TOBACCO SCREEN,UNKNOWN
PATIENT DECLINES TOBACCO USE EDUC,CURRENT SMOKER
PATIENT DECLINES TOBACCO USE SCREEN,UNKNOWN
PATIENT DECLINES TOBACCO USE SCREEN INPT,UNKNOWN
PATIENT DESIRES SMOKING CESSATION,CURRENT SMOKER
PATIENT DESIRES TOBACCO CESSATION MEDS,CURRENT SMOKER
PATIENT DOES NOT CURRENTLY  USE TOBACCO,UNKNOWN
PATIENT DOES NOT CURRENTLY USE TOBACCO,UNKNOWN
PATIENT ENCOURAGED TO QUIT USING TOBACCO,CURRENT SMOKER
PATIENT GIVEN TOBACCO HANDOUT,CURRENT SMOKER
PATIENT HAD TOBACCO USE COUNSELING,CURRENT SMOKER
PATIENT HAS NOT BEGUN TOBACCO CESS MEDS,CURRENT SMOKER
PATIENT HAS QUIT TOBACCO USE,FORMER SMOKER
PATIENT HAS TOBACCO USE COUNSELING,CURRENT SMOKER
PATIENT HX CHEWING TOBACCO,UNKNOWN
PATIENT INTERESTED SMOKING CESSATION,CURRENT SMOKER
PATIENT IS A CURRENT SMOKER,CURRENT SMOKER
PATIENT IS CURRENT SMOKER,CURRENT SMOKER
PATIENT IS NOW A NON TOBACCO USER,UNKNOWN
PATIENT IS TOBACCO USER,CURRENT SMOKER
PATIENT NEVER USED TOBACCO,NEVER SMOKER
PATIENT NO LONGER SMOKES,FORMER SMOKER
PATIENT NO LONGER USES TOBACCO,FORMER SMOKER
PATIENT NOT GIVEN TOBACCO HANDOUT,UNKNOWN
PATIENT NOT INTERESTED SMOKING CESSATION,CURRENT SMOKER
PATIENT QUIT USING TOBACCO PRODUCTS,FORMER SMOKER
PATIENT REFERRED FOR TOBACCO CESSATION,CURRENT SMOKER
PATIENT REFUSED TOBACCO COUNSELING,CURRENT SMOKER
PATIENT REQUESTS SMOKING CESSATION CLASS,CURRENT SMOKER
PATIENT SMOKES,CURRENT SMOKER
PATIENT USES SMOKELESS TOBACCO,UNKNOWN
PATIENT USES TOBACCO,CURRENT SMOKER
Patient wants to keep using Tobacco,CURRENT SMOKER
PATIENT WANTS TOBACCO CESSATION MEDS,CURRENT SMOKER
PATIENT WILLING TO QUIT TOBACCO,CURRENT SMOKER
PAVE TOBACCO,UNKNOWN
PBM PHARMD TOB CESS,CURRENT SMOKER
PBM PHARMD TOB CESS ADJ DOSE FREQ MED,CURRENT SMOKER
PBM PHARMD TOB CESS AT GOAL MED MGMT,CURRENT SMOKER
PBM PHARMD TOB CESS ATGOAL,CURRENT SMOKER
PBM PHARMD TOB CESS CHANGED OR DC MED,CURRENT SMOKER
PBM PHARMD TOB CESS END OF ACTIVE TX,CURRENT SMOKER
PBM PHARMD TOB CESS GOAL,CURRENT SMOKER
PBM PHARMD TOB CESS INITIATE MED,CURRENT SMOKER
PBM PHARMD TOB CESS MED,CURRENT SMOKER
PBM PHARMD TOB CESS NO CHANGE,CURRENT SMOKER
PBM PHARMD TOB CESS NOCHANGE,CURRENT SMOKER
PBM PHARMD TOB CESS NONPHARM,CURRENT SMOKER
PBM PHARMD TOB CESS NONPHARM ASSESS QUIT,CURRENT SMOKER
PBM PHARMD TOB CESS NONPHARM COMP/ADH,CURRENT SMOKER
PBM PHARMD TOB CESS NONPHARM INTERV,CURRENT SMOKER
PBM PHARMD TOB CESS NONPHARM PT ED,CURRENT SMOKER
PBM PHARMD TOB CESS QUIT DATE,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT FU ADD MED,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT FU ADJ MED,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT FU CHANGE TX,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT FU CONT TX,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT INITIATE TX,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT RLPS ADD TX,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT RLPS ADJ TX,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT RLPS CHNG TX,CURRENT SMOKER
PBM PHARMD TOB CESS TX INT RLPS RESTART,CURRENT SMOKER
PBM PHARMD TOB CESS V5,CURRENT SMOKER
PBM QUIT TOBACCO >12 MO & <7 YRS AGO,FORMER SMOKER
PBM QUIT TOBACCO IN THE LAST 12 MONTHS,FORMER SMOKER
PBM QUIT TOBACCO>12 MO & <7 YRS AGO,FORMER SMOKER
PBM TOBACCO USER STATUS,CURRENT SMOKER
PC EST CURRENT TOBACCO AMOUNT,CURRENT SMOKER
PC EST CURRENT TOBACCO CIGAR PIPE,UNKNOWN
PC EST CURRENT TOBACCO CIGS,CURRENT SMOKER
PC EST CURRENT TOBACCO SMOKELESS,UNKNOWN
PC EST FORMER TOBACCO AMOUNT,FORMER SMOKER
PC EST FORMER TOBACCO DATE QUIT,FORMER SMOKER
PC EST FORMER TOBACCO USER,FORMER SMOKER
PC EST NON TOBACCO USER,UNKNOWN
PC GOAL SMOKING,unknown
PC NEW CURRENT TOBACCO AMOUNT,CURRENT SMOKER
PC NEW CURRENT TOBACCO CIGAR PIPE,UNKNOWN
PC NEW CURRENT TOBACCO CIGS,CURRENT SMOKER
PC NEW CURRENT TOBACCO SMOKELESS,UNKNOWN
PC NEW FORMER TOBACCO AMOUNT,FORMER SMOKER
PC NEW FORMER TOBACCO DATE QUIT,FORMER SMOKER
PC NEW FORMER TOBACCO USER,FORMER SMOKER
PC NEW NON TOBACCO USER,UNKNOWN
PC PACT MA TOB CESS REQUESTED,CURRENT SMOKER
PCMHI CC TOBACCO,UNKNOWN
P-CURRENT SMOKER,CURRENT SMOKER
PHARM ADMIT TOB CESSATION REVIEW,CURRENT SMOKER
PHARM ADMIT TOB DRUG-DRUG INTERACTION,UNKNOWN
PHARM ADMIT TOB MED ALLERGY,UNKNOWN
PHARM ADMIT TOB MED NOT PRESCRIBED,CURRENT SMOKER
PHARM ADMIT TOB MED PRESCRIBED,CURRENT SMOKER
PHARM ADMIT TOB OTHER REASON NOT GIVEN,CURRENT SMOKER
PHARM ADMIT TOB PATIENT DECLINE MED,CURRENT SMOKER
PHARM D/C TOB CESSATION REVIEW,CURRENT SMOKER
PHARM D/C TOB DRUG-DRUG INTERACTION,CURRENT SMOKER
PHARM D/C TOB MED ALLERGY,UNKNOWN
PHARM D/C TOB MED NOT PRESCRIBED,CURRENT SMOKER
PHARM D/C TOB MED PRESCRIBED,CURRENT SMOKER
PHARM D/C TOB OTHER MED NOT GIVEN,CURRENT SMOKER
PHARM D/C TOB PATIENT DECLINE MED,CURRENT SMOKER
PHARMACY FOLLOW UP CARE SMOKING CESS,CURRENT SMOKER
PHARMACY TOBACCO USE EDUCATION,CURRENT SMOKER
PHI TOBACCO CATEGORY PHI,UNKNOWN
PHI TOBACCO COUNSELING-DETAILED,CURRENT SMOKER
PHI TOBACCO CURRENT USER,CURRENT SMOKER
PHI TOBACCO CURRENT USER COUNSELING DONE,CURRENT SMOKER
PHI TOBACCO DESIRES COUNSELING ONLY,CURRENT SMOKER
PHI TOBACCO DESIRES NO MEDS / COUNSELING,CURRENT SMOKER
PHI TOBACCO LIFETIME NON SMOKER,NEVER SMOKER
PHI TOBACCO QUIT <12 MONTHS AGO,FORMER SMOKER
PHI TOBACCO QUIT > 7 YRS AGO,FORMER SMOKER
PHI TOBACCO QUIT BTW 1 AND 7 YRS AGO,FORMER SMOKER
PHP BE TOBACCO FREE,unknown
PHP TOBACCO FREE,UNKNOWN
PHP TOBACCO FREE - DOING WELL,UNKNOWN
PHP TOBACCO FREE - NEEDS WORK,UNKNOWN
PHYSICIAN ADM TOB OTHER REASON NOT GIVEN,CURRENT SMOKER
PHYSICIAN ADMIT TOB CESSATION REVIEW,CURRENT SMOKER
PHYSICIAN ADMIT TOB MED CONTRAINDICATED,UNKNOWN
PHYSICIAN ADMIT TOB MED NOT PRESCRIBED,CURRENT SMOKER
PHYSICIAN ADMIT TOB MED PRESCRIBED,CURRENT SMOKER
PHYSICIAN ADMIT TOB PATIENT DECLINE MED,CURRENT SMOKER
PHYSICIAN D/C TOB CESSATION REVIEW,CURRENT SMOKER
PHYSICIAN D/C TOB MED CONTRAINDICATED,UNKNOWN
PHYSICIAN D/C TOB MED NOT PRESCRIBED,CURRENT SMOKER
PHYSICIAN D/C TOB MED PRESCRIBED,FORMER SMOKER
PHYSICIAN D/C TOB OTHER REASON NOT GIVEN,UNKNOWN
PHYSICIAN D/C TOB PATIENT DECLINE MED,CURRENT SMOKER
PHYSICIAN DIRECTED TOBACCO COUNSELING,CURRENT SMOKER
PIM IA CURRENT SMOKER,CURRENT SMOKER
PIM IA FORMER SMOKER,FORMER SMOKER
PIM IA NEVER SMOKED,NEVER SMOKER
PIM IA SMOKER:DAILY PACKS,CURRENT SMOKER
PIM IA SMOKER:YEARS SMOKING,CURRENT SMOKER
PIM SMOKER DAILY PACKS (SCORE):,CURRENT SMOKER
P-LIFETIME NON-TOBACCO USER,NEVER SMOKER
PNEUMO SMOKING CESSATION COUNSELING NO,CURRENT SMOKER
PNEUMO SMOKING CESSATION COUNSELING YES,CURRENT SMOKER
POS TOBAC AGREES TX,UNKNOWN
POS TOBAC DECLINES TX,CURRENT SMOKER
POS TOBAC DECLINES TX WANTS NRT,CURRENT SMOKER
POSITIVE TOBACCO SCREEN,CURRENT SMOKER
POSITIVE TOBACCO USE,CURRENT SMOKER
POSITIVE TOBACCO USE DISORDER,CURRENT SMOKER
POSITIVE TOBACCO USE INPATIENT,CURRENT SMOKER
POSITIVE TOBACCO USE PAST 30 DAYS,CURRENT SMOKER
POST D/C ATTEMPT #1 (TOB),UNKNOWN
POST D/C ATTEMPT #2 (TOB),UNKNOWN
POST D/C ATTEMPT #3 (TOB),UNKNOWN
POST D/C CALL ATTEMPT (TOB) SUCCESSFUL,UNKNOWN
POST D/C CALL ATTEMPT (TOB) UNSUCCESSFUL,UNKNOWN
POST D/C CALL TOB (15-30 DAYS),UNKNOWN
Post d/c TOB success,FORMER SMOKER
POST DC TOBACCO CONTACT ATTEMPT X 3,UNKNOWN
POST DC TOBACCO USE STATUS,UNKNOWN
P-QUIT SMOKING < 1 YEAR,FORMER SMOKER
P-QUIT TOBACCO > 1 YEAR,FORMER SMOKER
PRESCRIBED TOBACCO CESSATION MEDICATION,CURRENT SMOKER
PREV TOBACCO USE,FORMER SMOKER
PREV TOBACCO USER(PAST YEAR)/COUNSELED,FORMER SMOKER
PREVIOUS SMOKELESS TOBACCO USER,UNKNOWN
PREVIOUS SMOKELESS TOBACCO USER < 1 YR,UNKNOWN
PREVIOUS SMOKELESS TOBACCO USER > 1 YR,UNKNOWN
PREVIOUS SMOKER,FORMER SMOKER
PREVIOUS SMOKER - AAA,FORMER SMOKER
PREVIOUS SMOKER (1),FORMER SMOKER
PREVIOUS SMOKER < 1 YR,FORMER SMOKER
PREVIOUS SMOKER > 1 YR,FORMER SMOKER
PREVIOUS SMOKER > 12 MONTHS AGO,FORMER SMOKER
PREVIOUS SMOKER 2,FORMER SMOKER
PREVIOUS SMOKER AAA,FORMER SMOKER
PREVIOUS SMOKER II,FORMER SMOKER
PREVIOUS SMOKER QUIT RECENTLY,FORMER SMOKER
"PREVIOUS SMOKER, CURRENT NON-SMOKER",FORMER SMOKER
"PREVIOUS SMOKER, QUIT <5 YRS",FORMER SMOKER
"PREVIOUS SMOKER, QUIT >5 YRS",FORMER SMOKER
PREVIOUS SMOKER/USER,FORMER SMOKER
PREVIOUS SMOKER-AAA,FORMER SMOKER
PREVIOUS TOBACCO PRODUCT USER,FORMER SMOKER
PREVIOUS TOBACCO PRODUCT USER <12 MONTHS,FORMER SMOKER
PREVIOUS TOBACCO PRODUCT USER >12 MONTHS,FORMER SMOKER
PREVIOUS TOBACCO SCREEN,UNKNOWN
PREVIOUS TOBACCO USE,FORMER SMOKER
PREVIOUS TOBACCO USER,FORMER SMOKER
PREVIOUS TOBACCO USER(ANY TYPE),FORMER SMOKER
PREVIOUSLY SMOKED,FORMER SMOKER
PRIMARY CARE TOBACCO CESSATION PROGRAM,CURRENT SMOKER
PRIOR TOBACCO USE CESSATION DATE,FORMER SMOKER
PRIOR TOBACCO USER < 1 YR,FORMER SMOKER
PROVIDER CURRENT SMOKER,CURRENT SMOKER
PROVIDER ORDER TOBACCO MEDS,CURRENT SMOKER
PROVIDER TOBACCO CONSULTS,CURRENT SMOKER
PROVIDER TOBACCO COUNSELING DONE (INPT),CURRENT SMOKER
PROVIDER TOBACCO COUNSELLING DONE,CURRENT SMOKER
PROVIDER TOBACCO NON USE,UNKNOWN
PROVIDER TOBACCO REFUSED CONSULT,CURRENT SMOKER
PT ACCEPTS TOB CESSATION REFERRAL,CURRENT SMOKER
PT ADVISED TO QUIT SMOKING,CURRENT SMOKER
PT ATTENDING OUTPT TOB PGRM,UNKNOWN
PT COUNSELED ON STOPPING SMOKING CAT,CURRENT SMOKER
PT COUNSELED ON STOPPING SMOKING HF,CURRENT SMOKER
Pt currently uses tobacco products,CURRENT SMOKER
PT DECLINED TOBACCO CESSATION MEDS,CURRENT SMOKER
PT DECLINED TOBACCO CESSATION MEDS INPT,CURRENT SMOKER
PT DECLINES REF TO TOBACCO CESS PRGM,CURRENT SMOKER
PT DECLINES TOBACCO CESSATION MED,CURRENT SMOKER
PT DECLINES TOBACCO CESSATION MEDS,CURRENT SMOKER
PT DECLINES TOBACCO CESSATION PROGRAM,CURRENT SMOKER
PT DECLINES TOBACCO COUNSELING,CURRENT SMOKER
PT HAS NOT USED TOBACCO LAST 30 DAYS,UNKNOWN
Pt has quit tobacco within last 12m,FORMER SMOKER
PT HAS USED TOBACCO LAST 30 DAYS,CURRENT SMOKER
PT IN TOBACCO CESSATION PROGRAM,CURRENT SMOKER
PT INTERESTED IN SMOKING CESSATION MED,CURRENT SMOKER
PT IS CURRENT SMOKER,CURRENT SMOKER
PT IS NOT A CURRENT TOBACCO USER,UNKNOWN
PT NEVER USED OTHER FORMS OF TOBACCO,UNKNOWN
PT NEVER USED OTHER TOBACCO,UNKNOWN
PT NO LONGER A SMOKER,FORMER SMOKER
PT NOT ATTENDING TOB PGRM,UNKNOWN
PT NOT INTERESTED IN QUITTING TOBACCO,CURRENT SMOKER
PT NOT TAKING TOB MEDS,CURRENT SMOKER
PT ON TOBACCO CESSATION MED,CURRENT SMOKER
PT ON TOBACCO CESSATION MED INPT,CURRENT SMOKER
Pt previous smoker w/o hx tob use >7 yrs,FORMER SMOKER
PT QUIT USING OTHER FORMS OF TOBACCO,UNKNOWN
PT READY TO QUIT TOBACCO USE,CURRENT SMOKER
PT RECEIVES TOBACCO CESS MEDS OUTSIDE,CURRENT SMOKER
PT REFERRED TO NON-VA TOBACCO CESS PRGM,CURRENT SMOKER
PT REFUSED INFO ON TOB COUNSEL,CURRENT SMOKER
PT REFUSED INFO ON TOB MEDS,CURRENT SMOKER
PT REFUSED SMOKING CESS INTERVENTION,CURRENT SMOKER
PT REFUSED SMOKING CESSATION CLASSES,CURRENT SMOKER
PT REFUSED SMOKING CESSATION INTERVEN.,CURRENT SMOKER
PT REFUSED TOBACCO CESSATION,CURRENT SMOKER
PT REFUSED TOBACCO CESSATION MEDS,CURRENT SMOKER
PT REFUSES TOBACCO CESSATION PROGRAM,CURRENT SMOKER
PT RIGHTS SMOKING POLICY NON-SMOKER,UNKNOWN
PT RIGHTS SMOKING POLICY REVWD,unknown
PT RIGHTS SMOKING POLICY SMOKER,CURRENT SMOKER
Pt state no use of tobacco >12m but <7yr,UNKNOWN
PT TAKING TOB MEDS,CURRENT SMOKER
PT THINKING ABOUT QUITTING TOBACCO USE,CURRENT SMOKER
PT USES OTHER FORMS OF TOBACCO,UNKNOWN
PT USES OTHER FORMS OF TOBACCO-CANS,CURRENT SMOKER
PT USES OTHER FORMS OF TOBACCO-CIGARS,UNKNOWN
PT USES OTHER FORMS OF TOBACCO-POUCHES,UNKNOWN
Pt. is a lifetime Non-Smoker.,NEVER SMOKER
P-TOBACCO OUTSIDE BUPROPION,CURRENT SMOKER
P-TOBACCO OUTSIDE NICOTINE,unknown
P-TOBACCO OUTSIDE VARENICLINIE,CURRENT SMOKER
