domain,marker_name,LabChemTestName,lower,upper,source,n_records,n_patients,n_cohort,prop_patients,feature_name,feature_subcategory,code,code_vocabulary,Description,drug_name,VAClassification,percent_of_patients,VAClassification_Description,VAClass
Medications,"","","","","",695,312,735933,0.000423951636901729,AnyDrug,"","","","",OSYN _NOT TO USE,"",0.0423951636901729,"",
Medications,"","","","","",695,136,735933,0.000184799431469984,AnyDrug,"","","","",VITAMIN E,DE350,0.0184799431469984,EMOLLIENTS,DE350-EMOLLIENTS
Medications,"","","","","",695,220,735933,0.000298940256789681,AnyDrug,"","","","",Z_DO NOT REACTIVATE PHENYL GUAI LA,RE516,0.0298940256789681,DECONGESTANT/EXPECTORANT,RE516-DECONGESTANT/EXPECTORANT
Medications,"","","","","",694,115,735933,0.00015626422514006,AnyDrug,"","","","",ACETAMINOPHEN DICHLPHEN ISOMEHP,CN105,0.015626422514006,ANTIMIGRAINE AGENTS,CN105-ANTIMIGRAINE AGENTS
Medications,"","","","","",693,128,735933,0.000173928876677632,AnyDrug,"","","","",BOTULINUM TOXIN TYPE A,"",0.0173928876677632,"",
Medications,"","","","","",692,159,735933,0.000216052276497996,AnyDrug,"","","","",MULTIPLE VITAMINS,"",0.0216052276497996,"",
Medications,"","","","","",690,481,735933,0.000653592106890165,AnyDrug,"","","","",BATTERY V FOR GLUCOMETER,XX000,0.0653592106890165,MISCELLANEOUS AGENTS,XX000-MISCELLANEOUS AGENTS
Medications,"","","","","",690,102,735933,0.000138599573602488,AnyDrug,"","","","",FLUOROURACIL IV/INJ,"",0.0138599573602488,"",
Medications,"","","","","",690,241,735933,0.000327475463119605,AnyDrug,"","","","",THROAT LOZ PHENOL MENTHOL,NT900,0.0327475463119605,"NASAL AND THROAT,TOPICAL,OTHER","NT900-NASAL AND THROAT,TOPICAL,OTHER"
Medications,"","","","","",688,494,735933,0.000671256758427737,AnyDrug,"","","","",GENTAMICIN NS,"",0.0671256758427737,"",
Medications,"","","","","",688,335,735933,0.000455204481929741,AnyDrug,"","","","",MAGNESIUM SULFATE 1GM/100ML,"",0.0455204481929741,"",
Medications,"","","","","",688,271,735933,0.000368240043590925,AnyDrug,"","","","",PLUROGEL,DE900,0.0368240043590925,"DERMATOLOGICALS,TOPICAL OTHER","DE900-DERMATOLOGICALS,TOPICAL OTHER"
Medications,"","","","","",687,325,735933,0.000441616288439301,AnyDrug,"","","","",CEFTRIAXONE,"",0.0441616288439301,"",
Medications,"","","","","",686,363,735933,0.000493251423702973,AnyDrug,"","","","",TISSUE PLASMINOGEN ACTIVATOR,"",0.0493251423702973,"",
Medications,"","","","","",685,296,735933,0.000402210527317025,AnyDrug,"","","","",CEFEPIME HCL 1GM,"",0.0402210527317025,"",
Medications,"","","","","",685,181,735933,0.000245946302176964,AnyDrug,"","","","",HYDROCORTISONE INJECTION,"",0.0245946302176964,"",
Medications,"","","","","",685,161,735933,0.000218769915196084,AnyDrug,"","","","",MITOXANTRONE,"",0.0218769915196084,"",
Medications,"","","","","",685,258,735933,0.000350575392053353,AnyDrug,"","","","",THIAMINE HCL,"",0.0350575392053353,"",
Medications,"","","","","",685,168,735933,0.000228281650639392,AnyDrug,"","","","",THROAT DISC,NT900,0.0228281650639392,"NASAL AND THROAT,TOPICAL,OTHER","NT900-NASAL AND THROAT,TOPICAL,OTHER"
Medications,"","","","","",684,446,735933,0.000606033429673625,AnyDrug,"","","","",HYALURONIDASE,XX000,0.0606033429673625,MISCELLANEOUS AGENTS,XX000-MISCELLANEOUS AGENTS
Medications,"","","","","",684,125,735933,0.0001698524186305,AnyDrug,"","","","",SPECIAL PRODUCT,XX000,0.01698524186305,MISCELLANEOUS AGENTS,XX000-MISCELLANEOUS AGENTS
Medications,"","","","","",683,132,735933,0.000179364154073808,AnyDrug,"","","","",HYDROCODONE/IBUPROFEN,CN101,0.0179364154073808,OPIOID ANALGESICS,CN101-OPIOID ANALGESICS
Medications,"","","","","",683,212,735933,0.000288069701997329,AnyDrug,"","","","",NITAZOXANIDE,AP109,0.0288069701997329,"ANTIPROTOZOALS,OTHER","AP109-ANTIPROTOZOALS,OTHER"
Medications,"","","","","",682,267,735933,0.000362804766194749,AnyDrug,"","","","",MAGNESIUM SLF PREMIX,"",0.0362804766194749,"",
Medications,"","","","","",680,139,735933,0.000188875889517116,AnyDrug,"","","","",CARBOPLATIN IV/INJ,"",0.0188875889517116,"",
Medications,"","","","","",680,160,735933,0.00021741109584704,AnyDrug,"","","","",MEDERMA,DE900,0.021741109584704,"DERMATOLOGICALS,TOPICAL OTHER","DE900-DERMATOLOGICALS,TOPICAL OTHER"
Medications,"","","","","",678,286,735933,0.000388622333826585,AnyDrug,"","","","",AMIODARONE IV INJ,"",0.0388622333826585,"",
Medications,"","","","","",678,436,735933,0.000592445236183185,AnyDrug,"","","","",AZITHROMYCIN INJECTION,"",0.0592445236183185,"",
Medications,"","","","","",678,133,735933,0.000180722973422852,AnyDrug,"","","","",RAMUCIRUMAB,"",0.0180722973422852,"",
Medications,"","","","","",677,482,735933,0.000654950926239209,AnyDrug,"","","","",RINGER'S,TN102,0.0654950926239209,IV SOLUTIONS WITH ELECTROLYTES,TN102-IV SOLUTIONS WITH ELECTROLYTES
Medications,"","","","","",676,151,735933,0.000205181721705644,AnyDrug,"","","","",ALBUMIN (HUMAN) 25% 50ML,"",0.0205181721705644,"",
Medications,"","","","","",676,277,735933,0.000376392959685189,AnyDrug,"","","","",ERTAPENEM IN NS,"",0.0376392959685189,"",
Medications,"","","","","",674,221,735933,0.000300299076138725,AnyDrug,"","","","",GANCICLOVIR,"",0.0300299076138725,"",
Medications,"","","","","",673,499,735933,0.000678050855172957,AnyDrug,"","","","",EPINEPHRINE 1:1000 INJECTION,"",0.0678050855172957,"",
Medications,"","","","","",673,355,735933,0.000482380868910621,AnyDrug,"","","","",THROAT W MENTHOL PHENOL,NT300,0.0482380868910621,"ANESTHETICS,MUCOSAL","NT300-ANESTHETICS,MUCOSAL"
Medications,"","","","","",672,231,735933,0.000313887269629165,AnyDrug,"","","","",GG PHENYLPROPANOLAMINE LA,RE516,0.0313887269629165,DECONGESTANT/EXPECTORANT,RE516-DECONGESTANT/EXPECTORANT
Medications,"","","","","",669,177,735933,0.000240511024780789,AnyDrug,"","","","",ACETIC ACID ALUM ACET,OT109,0.0240511024780789,"ANTI-INFECTIVES,TOPICAL OTIC OTHER","OT109-ANTI-INFECTIVES,TOPICAL OTIC OTHER"
Medications,"","","","","",669,422,735933,0.000573421765296569,AnyDrug,"","","","",SULFAMETHOXAZOLE/TRIMETHOPRIM INJ,"",0.0573421765296569,"",
Medications,"","","","","",667,216,735933,0.000293504979393505,AnyDrug,"","","","",NOVAHISTINE DH EQUIV,RE301,0.0293504979393505,OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,RE301-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS
Medications,"","","","","",667,152,735933,0.000206540541054688,AnyDrug,"","","","",POTASSIUM CHLORIDE MEQ CUP,TN430,0.0206540541054688,POTASSIUM,TN430-POTASSIUM
